"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Coca Cola 400g","1000000000963","Snacks","2027-04-12","Pepsi","12.75","64"

"Pepsi 500g","1000000000964","Enlatados","2027-05-13","Bimbo","13.5","65"

"Pan Blanco 100g","1000000000965","Granos","2027-06-14","Lays","14.25","66"

"Pan Integral 200g","1000000000966","Lacteos","2027-07-15","Tortrix","15.0","67"

"Papas Fritas 300g","1000000000967","Bebidas","2027-08-16","Ducal","15.75","68"

"Tortrix 400g","1000000000968","Panaderia","2027-09-17","Sardimar","16.5","69"

"Atun en Lata 500g","1000000000969","Snacks","2027-10-18","Gallo Dorado","17.25","70"

"Frijoles Volteados 100g","1000000000970","Enlatados","2027-11-19","Dos Pinos","18.0","71"

"Arroz 200g","1000000000971","Granos","2027-12-20","La Granja","18.75","72"

"Azúcar 300g","1000000000972","Lacteos","2027-01-21","Coca Cola","19.5","73"

"Café 400g","1000000000973","Bebidas","2027-02-22","Pepsi","20.25","74"

"Agua Pura 500g","1000000000974","Panaderia","2027-03-23","Bimbo","21.0","75"

"Jugo 100g","1000000000975","Snacks","2027-04-24","Lays","21.75","76"

"Leche Entera 200g","1000000000976","Enlatados","2027-05-25","Tortrix","22.5","77"

"Queso Fresco 300g","1000000000977","Granos","2027-06-26","Ducal","23.25","78"

"Yogurt 400g","1000000000978","Lacteos","2027-07-27","Sardimar","24.0","79"

"Coca Cola 500g","1000000000979","Bebidas","2027-08-28","Gallo Dorado","24.75","80"

"Pepsi 100g","1000000000980","Panaderia","2027-09-01","Dos Pinos","25.5","81"

"Pan Blanco 200g","1000000000981","Snacks","2027-10-02","La Granja","26.25","82"

"Pan Integral 300g","1000000000982","Enlatados","2027-11-03","Coca Cola","27.0","83"

"Papas Fritas 400g","1000000000983","Granos","2027-12-04","Pepsi","27.75","84"

"Tortrix 500g","1000000000984","Lacteos","2027-01-05","Bimbo","28.5","85"

"Atun en Lata 100g","1000000000985","Bebidas","2027-02-06","Lays","29.25","86"

"Frijoles Volteados 200g","1000000000986","Panaderia","2027-03-07","Tortrix","30.0","87"

"Arroz 300g","1000000000987","Snacks","2027-04-08","Ducal","30.75","88"

"Azúcar 400g","1000000000988","Enlatados","2027-05-09","Sardimar","31.5","89"

"Café 500g","1000000000989","Granos","2027-06-10","Gallo Dorado","32.25","90"

"Agua Pura 100g","1000000000990","Lacteos","2027-07-11","Dos Pinos","33.0","91"

"Jugo 200g","1000000000991","Bebidas","2027-08-12","La Granja","33.75","92"

"Leche Entera 300g","1000000000992","Panaderia","2027-09-13","Coca Cola","34.5","93"

"Queso Fresco 400g","1000000000993","Snacks","2027-10-14","Pepsi","35.25","94"

"Yogurt 500g","1000000000994","Enlatados","2027-11-15","Bimbo","36.0","95"

"Coca Cola 100g","1000000000995","Granos","2027-12-16","Lays","36.75","96"

"Pepsi 200g","1000000000996","Lacteos","2027-01-17","Tortrix","37.5","97"

"Pan Blanco 300g","1000000000997","Bebidas","2027-02-18","Ducal","38.25","98"

"Pan Integral 400g","1000000000998","Panaderia","2027-03-19","Sardimar","39.0","99"

"Papas Fritas 500g","1000000000999","Snacks","2027-04-20","Gallo Dorado","39.75","100"

"Tortrix 100g","1000000001000","Enlatados","2027-05-21","Dos Pinos","3.0","1"
